rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,size_int,country_int,continent_int
1,California Institute of Technology,2243,6.9,0.26,49,95.2,95.6,97.6,99.8,97.8,64.0,small,United States,North America,1.0,0.0,172.0,3.0
2,University of Oxford,19919,11.6,0.34,46,94.2,86.5,98.9,98.8,73.1,94.4,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
3,Stanford University,15596,7.8,0.22,42,93.9,92.5,96.2,99.9,63.3,76.3,large,United States,North America,1.0,2.0,172.0,3.0
4,University of Cambridge,18812,11.8,0.34,46,92.8,88.2,96.7,97.0,55.0,91.5,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
5,Massachusetts Institute of Technology,11074,9.0,0.33,37,92.0,89.4,88.6,99.7,95.4,84.0,medium,United States,North America,1.0,1.0,172.0,3.0
6,Harvard University,20152,8.9,0.25,51,91.6,83.6,99.0,99.8,45.2,77.2,large,United States,North America,1.0,2.0,172.0,3.0
7,Princeton University,7929,8.4,0.27,45,90.1,85.1,91.9,99.3,52.1,78.5,medium,United States,North America,1.0,1.0,172.0,3.0
8,Imperial College London,15060,11.7,0.51,37,89.1,83.3,88.5,96.7,53.7,96.0,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,18178,14.7,0.37,31,88.3,77.0,95.0,91.1,80.0,97.9,large,Switzerland,Europe,0.0,2.0,146.0,2.0
10,University of Chicago,14221,6.9,0.2,42,87.9,85.7,88.9,99.2,36.6,65.0,medium,United States,North America,1.0,1.0,172.0,3.0
11,Johns Hopkins University,15128,3.6,0.23,50,87.6,77.6,90.4,98.2,100.0,70.0,large,United States,North America,1.0,2.0,172.0,3.0
12,Yale University,11751,4.4,0.2,50,87.4,86.5,87.8,97.2,43.3,64.3,medium,United States,North America,1.0,1.0,172.0,3.0
13,University of California,36186,16.4,0.15,50,87.2,80.4,91.1,99.7,47.9,61.9,large,United States,North America,1.0,2.0,172.0,3.0
14,UCL,26607,10.7,0.46,56,87.1,78.1,91.0,94.2,40.5,94.4,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
15,Columbia University,25055,5.9,0.28,49,86.1,85.9,82.2,98.1,34.1,73.5,large,United States,North America,1.0,2.0,172.0,3.0
16,University of California,38206,10.3,0.15,52,85.8,80.8,88.6,98.5,47.9,56.4,large,United States,North America,1.0,2.0,172.0,3.0
17,University of Pennsylvania,20376,6.5,0.2,51,85.2,82.0,86.9,98.6,47.9,49.5,large,United States,North America,1.0,2.0,172.0,3.0
18,Cornell University,21424,10.2,0.19,48,84.0,77.9,86.1,97.2,33.7,63.9,large,United States,North America,1.0,2.0,172.0,3.0
19,University of Toronto,66198,19.5,0.15,49,83.9,75.9,89.3,90.9,49.1,77.8,large,Canada,North America,1.0,2.0,154.0,3.0
20,Duke University,15172,4.8,0.17,49,82.7,76.0,78.0,99.0,100.0,56.5,large,United States,North America,1.0,2.0,172.0,3.0
21,University of Michigan,41786,9.0,0.16,48,82.4,76.8,85.2,94.4,56.3,53.7,large,United States,North America,1.0,2.0,172.0,3.0
22,Carnegie Mellon University,11885,13.1,0.35,39,82.3,67.4,88.8,99.1,57.5,57.1,medium,United States,North America,1.0,1.0,172.0,3.0
23,London School of Economics and Political Science,9233,12.1,0.7,53,81.3,69.8,80.6,94.3,32.2,93.6,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
24,University of Edinburgh,25774,14.1,0.36,58,80.3,68.6,77.2,96.3,36.1,89.8,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
25,Northwestern University,18334,13.8,0.15,48,79.5,69.8,78.4,96.5,81.2,53.9,large,United States,North America,1.0,2.0,172.0,3.0
26,National University of Singapore,31592,15.5,0.34,49,79.2,71.7,84.5,79.4,49.8,96.2,large,Singapore,Asia,0.0,2.0,88.0,1.0
