
1,California Institute of TechnologyUnited States,"2,243",6.9,26%,33 : 67
2,University of OxfordUnited Kingdom,"19,919",11.6,34%,46 : 54
3,Stanford UniversityUnited States,"15,596",7.8,22%,42 : 58
4,University of CambridgeUnited Kingdom,"18,812",11.8,34%,46 : 54
5,Massachusetts Institute of TechnologyUnited States,"11,074",9.0,33%,37 : 63
6,Harvard UniversityUnited States,"20,152",8.9,25%,n/a
7,Princeton UniversityUnited States,"7,929",8.4,27%,45 : 55
8,Imperial College LondonUnited Kingdom,"15,060",11.7,51%,37 : 63
9,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,"18,178",14.7,37%,31 : 69
10,University of ChicagoUnited States,"14,221",6.9,20%,42 : 58
11,Johns Hopkins UniversityUnited States,"15,128",3.6,23%,50 : 50
12,Yale UniversityUnited States,"11,751",4.4,20%,50 : 50
13,"University of California, BerkeleyUnited States","36,186",16.4,15%,50 : 50
14,UCLUnited Kingdom,"26,607",10.7,46%,56 : 44
15,Columbia UniversityUnited States,"25,055",5.9,28%,n/a
16,"University of California, Los AngelesUnited States","38,206",10.3,15%,52 : 48
17,University of PennsylvaniaUnited States,"20,376",6.5,20%,51 : 49
18,Cornell UniversityUnited States,"21,424",10.2,19%,48 : 52
19,University of TorontoCanada,"66,198",19.5,15%,n/a
20,Duke UniversityUnited States,"15,172",4.8,17%,49 : 51
21,University of MichiganUnited States,"41,786",9.0,16%,48 : 52
22,Carnegie Mellon UniversityUnited States,"11,885",13.1,35%,39 : 61
23,London School of Economics and Political ScienceUnited Kingdom,"9,233",12.1,70%,53 : 47
24,University of EdinburghUnited Kingdom,"25,774",14.1,36%,58 : 42
25,Northwestern UniversityUnited States,"18,334",13.8,15%,48 : 52
26,National University of SingaporeSingapore,"31,592",15.5,34%,49 : 51
27,King’s College LondonUnited Kingdom,"21,394",11.4,37%,61 : 39
28,Karolinska InstituteSweden,"7,774",11.5,22%,70 : 30
29,LMU MunichGermany,"35,691",15.5,13%,62 : 38
30,New York UniversityUnited States,"42,056",6.8,19%,55 : 45
31,École Polytechnique Fédérale de LausanneSwitzerland,"9,666",10.5,54%,27 : 73
32,University of WashingtonUnited States,"44,020",11.8,13%,53 : 47
33,University of MelbourneAustralia,"40,128",23.7,35%,55 : 45
34,University of British ColumbiaCanada,"50,152",17.6,25%,54 : 46
35,KU LeuvenBelgium,"42,503",41.9,18%,54 : 46
36,University of Illinois at Urbana-ChampaignUnited States,"42,727",18.7,20%,47 : 53
37,Heidelberg UniversityGermany,"28,881",24.5,17%,55 : 45
38,McGill UniversityCanada,"31,326",13.7,23%,56 : 44
 =39,"University of California, San DiegoUnited States","27,233",6.5,11%,48 : 52
 =39,"University of California, Santa BarbaraUnited States","22,020",27.3,11%,52 : 48
41,Georgia Institute of TechnologyUnited States,"19,967",20.1,26%,31 : 69
42,Peking UniversityChina,"40,148",8.3,14%,n/a
43,The University of TokyoJapan,"26,199",5.7,10%,n/a
 =44,"University of California, DavisUnited States","35,364",13.9,13%,54 : 46
 =44,University of Hong KongHong Kong,"19,835",17.6,38%,53 : 47
46,University of Texas at AustinUnited States,"49,427",17.4,9%,51 : 49
 =47,Tsinghua UniversityChina,"39,763",13.7,10%,32 : 68
 =47,Wageningen University & ResearchNetherlands,"9,248",17.0,21%,56 : 44
49,Humboldt University of BerlinGermany,"29,987",52.5,16%,n/a
50,University of Wisconsin-MadisonUnited States,"39,655",10.8,11%,51 : 49
51,Brown UniversityUnited States,"8,653",10.1,19%,n/a
52,Australian National UniversityAustralia,"14,604",19.2,35%,52 : 48
53,Technical University of MunichGermany,"35,565",31.5,20%,33 : 67
54,École Normale SupérieureFrance,"2,400",7.9,20%,46 : 54
55,"Nanyang Technological University, SingaporeSingapore","25,028",16.2,33%,48 : 52
