
1,University of OxfordUnited Kingdom,95.0,89.6,99.1,99.2,62.5,94.5
2,California Institute of TechnologyUnited States,94.3,95.5,95.7,99.8,90.8,63.4
3,Stanford UniversityUnited States,93.8,92.6,95.9,99.9,60.9,76.5
4,University of CambridgeUnited Kingdom,93.6,90.6,97.2,96.8,50.4,92.4
5,Massachusetts Institute of TechnologyUnited States,93.4,90.3,92.3,99.9,88.4,85.6
6,Harvard UniversityUnited States,92.7,87.5,98.3,99.7,47.3,77.9
7,Princeton UniversityUnited States,90.2,89.5,88.4,99.2,49.9,77.2
8,Imperial College LondonUnited Kingdom,90.0,86.4,86.6,97.3,67.5,96.5
9,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,89.3,81.5,93.7,92.5,63.7,98.1
=10,"University of California, BerkeleyUnited States",88.9,82.4,96.1,99.8,37.6,59.6
=10,University of ChicagoUnited States,88.9,88.1,89.1,99.1,37.7,67.8
12,Yale UniversityUnited States,88.2,88.5,87.8,97.8,44.5,64.3
13,University of PennsylvaniaUnited States,87.1,85.9,88.9,98.6,49.9,50.1
14,"University of California, Los AngelesUnited States",86.6,82.9,89.0,98.4,47.1,58.0
15,UCLUnited Kingdom,86.5,77.4,90.0,94.0,41.9,94.3
16,Columbia UniversityUnited States,86.1,86.9,78.9,98.6,44.9,75.3
17,Johns Hopkins UniversityUnited States,85.9,77.4,84.3,98.4,100.0,71.1
18,Duke UniversityUnited States,84.7,80.7,80.0,98.8,100.0,58.2
19,Cornell UniversityUnited States,84.6,79.7,86.5,97.2,36.0,62.2
20,Northwestern UniversityUnited States,83.7,75.8,85.0,97.0,85.8,56.1
21,University of MichiganUnited States,83.6,79.4,86.1,95.8,43.9,54.6
22,University of TorontoCanada,83.0,74.6,86.3,91.9,48.8,78.3
23,Carnegie Mellon UniversityUnited States,81.8,70.2,84.0,99.3,51.8,59.6
24,National University of SingaporeSingapore,81.7,76.7,86.9,79.7,61.3,96.0
