rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook
1,University of OxfordUnited Kingdom,19718,10.9,35%,46 : 54,95,89.6,99.1,99.2,62.5,94.5
2,California Institute of TechnologyUnited States,2181,6.7,27%,31 : 69,94.3,95.5,95.7,99.8,90.8,63.4
3,Stanford UniversityUnited StatesExplore,15658,7.7,22%,42 : 58,93.8,92.6,95.9,99.9,60.9,76.5
4,University of CambridgeUnited Kingdom,18605,11.3,35%,45 : 55,93.6,90.6,97.2,96.8,50.4,92.4
5,Massachusetts Institute of TechnologyUnited States,11192,8.8,33%,37 : 63,93.4,90.3,92.3,99.9,88.4,85.6
6,Harvard UniversityUnited States,19890,8.8,25%,n/a,92.7,87.5,98.3,99.7,47.3,77.9
7,Princeton UniversityUnited States,7925,8.4,23%,45 : 55,90.2,89.5,88.4,99.2,49.9,77.2
8,Imperial College LondonUnited Kingdom,15236,11.3,52%,37 : 63,90,86.4,86.6,97.3,67.5,96.5
9,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,18616,14.9,37%,31 : 69,89.3,81.5,93.7,92.5,63.7,98.1
10,"University of California, BerkeleyUnited States",34834,12,16%,52 : 48,88.9,82.4,96.1,99.8,37.6,59.6
10,University of ChicagoUnited StatesExplore,13486,6.2,24%,42 : 58,88.9,88.1,89.1,99.1,37.7,67.8
12,Yale UniversityUnited States,11946,4.4,21%,49 : 51,88.2,88.5,87.8,97.8,44.5,64.3
13,University of PennsylvaniaUnited States,20367,6.5,20%,51 : 49,87.1,85.9,88.9,98.6,49.9,50.1
14,"University of California, Los AngelesUnited States",38392,9.9,16%,53 : 47,86.6,82.9,89,98.4,47.1,58
15,UCLUnited Kingdom,28602,10.6,47%,56 : 44,86.5,77.4,90,94,41.9,94.3
16,Columbia UniversityUnited States,25659,6,30%,n/a,86.1,86.9,78.9,98.6,44.9,75.3
17,Johns Hopkins UniversityUnited States,15303,3.5,24%,51 : 49,85.9,77.4,84.3,98.4,100,71.1
18,Duke UniversityUnited States,15204,4.8,17%,49 : 51,84.7,80.7,80,98.8,100,58.2
19,Cornell UniversityUnited States,21593,9.9,19%,49 : 51,84.6,79.7,86.5,97.2,36,62.2
20,Northwestern UniversityUnited StatesExplore,18570,14,16%,48 : 52,83.7,75.8,85,97,85.8,56.1
21,University of MichiganUnited States,41912,8.8,16%,48 : 52,83.6,79.4,86.1,95.8,43.9,54.6
22,University of TorontoCanada,68093,18.8,16%,n/a,83,74.6,86.3,91.9,48.8,78.3
23,Carnegie Mellon UniversityUnited States,12311,13.2,38%,38 : 62,81.8,70.2,84,99.3,51.8,59.6
24,National University of SingaporeSingaporeExplore,31111,16.7,32%,50 : 50,81.7,76.7,86.9,79.7,61.3,96
25,London School of Economics and Political ScienceUnited Kingdom,9401,11.8,70%,53 : 47,80.2,70.8,74.7,96.3,34.8,91
25,University of WashingtonUnited States,45162,11.9,15%,53 : 47,80.2,70.2,80.4,98.8,49.8,55
27,University of EdinburghUnited Kingdom,25279,12.6,37%,59 : 41,79.2,67.5,74.7,96,35,91.5
28,Karolinska InstituteSweden,7723,11.3,23%,69 : 31,77.6,62.1,76,95.9,72.1,74.2
29,Peking UniversityChina,42977,8.8,15%,48 : 52,77.2,84.6,80.3,71.6,100,50.3
30,LMU MunichGermanyExplore,36180,15.7,14%,61 : 39,76.8,70.5,73.4,87.4,100,65.4
30,École Polytechnique Fédérale de LausanneSwitzerland,9750,11.2,54%,27 : 73,76.8,62.9,66.1,96.5,69.8,98.6
