
1,University of OxfordUnited Kingdom,94.3,86.7,99.5,99.1,63.7,95.0
2,University of CambridgeUnited Kingdom,93.2,87.8,97.8,97.5,51.5,93.0
=3,California Institute of TechnologyUnited States,93.0,90.3,97.5,99.5,92.6,59.7
=3,Stanford UniversityUnited StatesExplore,93.0,89.1,96.7,99.9,60.5,77.6
5,Massachusetts Institute of TechnologyUnited States,92.5,87.3,91.9,100.0,88.4,87.6
6,Harvard UniversityUnited States,91.8,84.2,98.4,99.7,46.4,79.7
7,Princeton UniversityUnited States,91.1,85.7,93.9,99.6,58.0,78.7
8,Imperial College LondonUnited Kingdom,89.2,81.7,88.7,96.7,71.6,96.6
9,University of ChicagoUnited StatesExplore,88.6,85.3,90.1,99.4,39.8,69.6
=10,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,87.7,76.4,92.0,94.3,60.3,98.1
=10,University of PennsylvaniaUnited States,87.7,83.7,90.1,98.5,56.9,61.3
12,Yale UniversityUnited States,87.6,86.7,87.0,98.4,45.1,64.6
13,Johns Hopkins UniversityUnited States,86.5,76.1,88.1,98.4,95.8,70.6
14,Columbia UniversityUnited States,86.0,82.2,83.3,98.8,41.3,76.6
15,"University of California, Los AngelesUnited States",85.7,80.7,88.1,97.9,48.6,59.5
16,UCLUnited Kingdom,85.3,74.4,88.2,94.6,41.2,94.6
17,Duke UniversityUnited States,85.1,80.7,80.6,98.3,100.0,62.5
18,"University of California, BerkeleyUnited States",84.3,77.4,84.5,99.8,37.5,64.5
19,Cornell UniversityUnited States,84.2,76.2,86.6,97.6,34.6,69.2
20,Northwestern UniversityUnited StatesExplore,83.3,72.6,86.7,96.9,78.2,59.2
21,University of MichiganUnited States,83.1,77.2,86.3,95.7,46.2,55.8
=22,National University of SingaporeSingaporeExplore,82.8,77.4,88.2,81.3,61.9,95.8
=22,University of TorontoCanada,82.8,74.6,84.8,92.6,46.5,80.1
24,Carnegie Mellon UniversityUnited States,81.9,65.8,83.7,99.7,50.4,79.1
=25,London School of Economics and Political ScienceUnited Kingdom,79.4,71.8,72.0,94.9,33.7,92.2
=25,University of WashingtonUnited States,79.4,67.9,79.9,99.0,47.3,56.5
=27,University of EdinburghUnited Kingdom,79.2,66.8,74.2,97.0,36.3,92.0
=27,New York UniversityUnited States,79.2,73.7,77.4,96.5,37.0,53.4
=27,Peking UniversityChina,79.2,83.0,85.1,74.2,100.0,53.0
30,Tsinghua UniversityChinaExplore,79.0,80.2,93.2,71.4,99.8,41.0
31,"University of California, San DiegoUnited States",78.7,62.9,79.8,98.6,96.5,51.9
32,University of MelbourneAustraliaExplore,77.5,64.9,74.2,90.3,70.1,92.7
33,Georgia Institute of TechnologyUnited States,77.0,59.7,78.9,94.3,60.2,75.0
=34,University of British ColumbiaCanada,76.2,61.8,72.2,93.4,42.6,92.2
=34,LMU MunichGermanyExplore,76.2,65.4,72.3,91.3,100.0,66.3
36,King’s College LondonUnited KingdomExplore,75.6,59.3,71.2,94.4,43.9,94.5
37,University of Illinois at Urbana-ChampaignUnited States,75.4,65.8,78.9,88.9,56.0,52.8
=38,École Polytechnique Fédérale de LausanneSwitzerland,75.3,58.8,66.8,94.2,76.0,98.7
=38,Karolinska InstituteSweden,75.3,57.0,74.4,95.9,71.4,70.3
40,University of Hong KongHong KongExplore,75.1,68.8,77.9,74.2,54.0,99.5
41,Technical University of MunichGermany,73.5,60.3,71.2,88.4,100.0,66.8
42,McGill UniversityCanada,73.2,63.4,70.8,84.7,39.8,87.5
43,University of Wisconsin-MadisonUnited States,73.1,68.4,73.9,86.5,45.8,43.4
44,Hong Kong University of Science and TechnologyHong KongExplore,72.7,55.2,68.4,93.1,58.1,83.4
45,Heidelberg UniversityGermany,72.3,63.6,62.2,94.2,56.0,64.7
46,The University of TokyoJapan,72.2,79.5,85.2,63.7,52.7,32.2
47,KU LeuvenBelgiumExplore,71.8,54.2,70.9,88.7,99.9,68.3
48,Australian National UniversityAustraliaExplore,71.6,52.7,72.0,85.5,61.1,94.3
49,University of Texas at AustinUnited States,71.4,60.9,68.3,95.7,48.2,36.7
=50,Brown UniversityUnited StatesExplore,70.8,63.8,57.9,96.7,34.1,59.0
=50,Washington University in St LouisUnited StatesExplore,70.8,60.8,59.7,99.4,36.9,52.1
52,"Nanyang Technological University, SingaporeSingaporeExplore",70.5,49.5,63.0,90.7,94.0,95.9
53,"University of California, Santa BarbaraUnited States",70.0,50.0,61.5,98.8,82.0,65.4
=54,"University of California, DavisUnited States",69.5,60.9,64.5,86.0,53.4,63.7
=54,University of ManchesterUnited Kingdom,69.5,56.3,65.3,84.3,44.1,88.7
=56,University of MinnesotaUnited States,69.0,57.6,67.9,87.5,90.4,37.7
=56,University of North Carolina at Chapel HillUnited States,69.0,57.9,61.8,96.7,39.2,41.5
58,Chinese University of Hong KongHong KongExplore,68.5,57.0,64.4,80.6,56.8,86.6
59,University of AmsterdamNetherlandsExplore,68.4,51.3,62.6,91.9,49.9,72.2
60,Purdue UniversityUnited States,68.2,62.3,68.9,73.4,63.5,69.9
61,University of SydneyAustraliaExplore,67.8,50.2,63.1,85.9,67.9,84.6
62,Humboldt University of BerlinGermany,67.4,61.9,67.1,76.1,38.6,65.6
63,Delft University of TechnologyNetherlands,67.3,53.4,72.0,68.5,99.8,88.5
64,Wageningen University & ResearchNetherlands,67.2,46.6,53.6,95.2,100.0,80.6
