rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size
1,University of OxfordUnited Kingdom,20409,11.2,38%,46 : 54,94.3,86.7,99.5,99.1,63.7,95.0,large
2,University of CambridgeUnited Kingdom,18389,10.9,35%,45 : 55,93.2,87.8,97.8,97.5,51.5,93.0,large
3,California Institute of TechnologyUnited States,2209,6.5,27%,31 : 69,93.0,90.3,97.5,99.5,92.6,59.7,small
3,Stanford UniversityUnited States,15845,7.5,22%,42 : 58,93.0,89.1,96.7,99.9,60.5,77.6,large
5,Massachusetts Institute of TechnologyUnited States,11177,8.7,34%,37 : 63,92.5,87.3,91.9,100.0,88.4,87.6,medium
6,Harvard UniversityUnited States,20326,8.9,26%,,91.8,84.2,98.4,99.7,46.4,79.7,large
7,Princeton UniversityUnited States,7955,8.3,24%,45 : 55,91.1,85.7,93.9,99.6,58.0,78.7,medium
8,Imperial College LondonUnited Kingdom,15857,11.4,55%,37 : 63,89.2,81.7,88.7,96.7,71.6,96.6,large
9,University of ChicagoUnited States,13525,6.2,25%,44 : 56,88.6,85.3,90.1,99.4,39.8,69.6,medium
10,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,19233,14.6,38%,31 : 69,87.7,76.4,92.0,94.3,60.3,98.1,large
10,University of PennsylvaniaUnited States,20361,6.5,20%,50 : 50,87.7,83.7,90.1,98.5,56.9,61.3,large
12,Yale UniversityUnited States,12155,4.3,21%,49 : 51,87.6,86.7,87.0,98.4,45.1,64.6,medium
13,Johns Hopkins UniversityUnited States,15498,4.3,24%,52 : 48,86.5,76.1,88.1,98.4,95.8,70.6,large
14,Columbia UniversityUnited States,26587,6.1,32%,,86.0,82.2,83.3,98.8,41.3,76.6,large
15,"University of California, Los AngelesUnited States",39279,9.6,17%,53 : 47,85.7,80.7,88.1,97.9,48.6,59.5,large
16,UCLUnited Kingdom,30304,10.5,49%,56 : 44,85.3,74.4,88.2,94.6,41.2,94.6,large
17,Duke UniversityUnited States,15256,4.5,22%,49 : 51,85.1,80.7,80.6,98.3,100.0,62.5,large
18,"University of California, BerkeleyUnited States",36182,13.1,17%,52 : 48,84.3,77.4,84.5,99.8,37.5,64.5,large
19,Cornell UniversityUnited States,21850,9.8,24%,49 : 51,84.2,76.2,86.6,97.6,34.6,69.2,large
20,Northwestern UniversityUnited States,17466,12.8,18%,48 : 52,83.3,72.6,86.7,96.9,78.2,59.2,large
21,University of MichiganUnited States,41818,8.6,16%,48 : 52,83.1,77.2,86.3,95.7,46.2,55.8,large
22,National University of SingaporeSingapore,30602,17.0,30%,51 : 49,82.8,77.4,88.2,81.3,61.9,95.8,large
22,University of TorontoCanada,69427,18.7,17%,,82.8,74.6,84.8,92.6,46.5,80.1,large
24,Carnegie Mellon UniversityUnited States,12676,13.5,45%,39 : 61,81.9,65.8,83.7,99.7,50.4,79.1,medium
25,London School of Economics and Political ScienceUnited Kingdom,10065,12.2,71%,52 : 48,79.4,71.8,72.0,94.9,33.7,92.2,medium
25,University of WashingtonUnited States,44945,11.4,16%,52 : 48,79.4,67.9,79.9,99.0,47.3,56.5,large
27,University of EdinburghUnited Kingdom,26759,12.5,40%,59 : 41,79.2,66.8,74.2,97.0,36.3,92.0,large
27,New York UniversityUnited States,43860,9.6,26%,56 : 44,79.2,73.7,77.4,96.5,37.0,53.4,large
27,Peking UniversityChina,42136,8.9,16%,47 : 53,79.2,83.0,85.1,74.2,100.0,53.0,large
30,Tsinghua UniversityChina,42089,13.7,9%,32 : 68,79.0,80.2,93.2,71.4,99.8,41.0,large
31,"University of California, San DiegoUnited States",29633,12.8,17%,46 : 54,78.7,62.9,79.8,98.6,96.5,51.9,large
32,University of MelbourneAustralia,42116,26.6,40%,55 : 45,77.5,64.9,74.2,90.3,70.1,92.7,large
33,Georgia Institute of TechnologyUnited States,20773,20.7,27%,31 : 69,77.0,59.7,78.9,94.3,60.2,75.0,large
34,University of British ColumbiaCanada,51889,18.1,29%,54 : 46,76.2,61.8,72.2,93.4,42.6,92.2,large
34,LMU MunichGermany,36091,15.6,15%,61 : 39,76.2,65.4,72.3,91.3,100.0,66.3,large
36,King’s College LondonUnited Kingdom,23207,12.0,41%,62 : 38,75.6,59.3,71.2,94.4,43.9,94.5,large
37,University of Illinois at Urbana-ChampaignUnited States,43402,22.8,23%,46 : 54,75.4,65.8,78.9,88.9,56.0,52.8,large
38,École Polytechnique Fédérale de LausanneSwitzerland,9928,11.2,55%,28 : 72,75.3,58.8,66.8,94.2,76.0,98.7,medium
38,Karolinska InstituteSweden,7424,10.9,19%,68 : 32,75.3,57.0,74.4,95.9,71.4,70.3,medium
40,University of Hong KongHong Kong,18364,18.0,42%,54 : 46,75.1,68.8,77.9,74.2,54.0,99.5,large
41,Technical University of MunichGermany,38689,54.4,23%,34 : 66,73.5,60.3,71.2,88.4,100.0,66.8,large
42,McGill UniversityCanada,30940,13.3,26%,57 : 43,73.2,63.4,70.8,84.7,39.8,87.5,large
43,University of Wisconsin-MadisonUnited States,38960,10.7,12%,51 : 49,73.1,68.4,73.9,86.5,45.8,43.4,large
44,Hong Kong University of Science and TechnologyHong Kong,10214,23.1,31%,,72.7,55.2,68.4,93.1,58.1,83.4,medium
45,Heidelberg UniversityGermany,28876,23.2,17%,55 : 45,72.3,63.6,62.2,94.2,56.0,64.7,large
46,The University of TokyoJapan,26000,6.7,10%,,72.2,79.5,85.2,63.7,52.7,32.2,large
47,KU LeuvenBelgium,44412,37.1,15%,50 : 50,71.8,54.2,70.9,88.7,99.9,68.3,large
48,Australian National UniversityAustralia,15986,19.3,35%,52 : 48,71.6,52.7,72.0,85.5,61.1,94.3,large
49,University of Texas at AustinUnited States,48561,17.1,10%,51 : 49,71.4,60.9,68.3,95.7,48.2,36.7,large
50,Brown UniversityUnited States,8898,10.7,20%,,70.8,63.8,57.9,96.7,34.1,59.0,medium
50,Washington University in St LouisUnited States,12600,7.5,17%,,70.8,60.8,59.7,99.4,36.9,52.1,medium
52,"Nanyang Technological University, SingaporeSingapore",25499,16.3,31%,48 : 52,70.5,49.5,63.0,90.7,94.0,95.9,large
53,"University of California, Santa BarbaraUnited States",23054,28.1,14%,52 : 48,70.0,50.0,61.5,98.8,82.0,65.4,large
54,"University of California, DavisUnited States",37365,13.8,10%,56 : 44,69.5,60.9,64.5,86.0,53.4,63.7,large
54,University of ManchesterUnited Kingdom,35318,14.6,38%,52 : 48,69.5,56.3,65.3,84.3,44.1,88.7,large
56,University of MinnesotaUnited States,60949,17.4,11%,51 : 49,69.0,57.6,67.9,87.5,90.4,37.7,large
56,University of North Carolina at Chapel HillUnited States,34684,9.7,8%,56 : 44,69.0,57.9,61.8,96.7,39.2,41.5,large
58,Chinese University of Hong KongHong Kong,18072,17.3,31%,,68.5,57.0,64.4,80.6,56.8,86.6,large
59,University of AmsterdamNetherlands,23495,12.3,12%,57 : 43,68.4,51.3,62.6,91.9,49.9,72.2,large
60,Purdue UniversityUnited States,38770,17.4,23%,42 : 58,68.2,62.3,68.9,73.4,63.5,69.9,large
61,University of SydneyAustralia,44553,21.6,32%,57 : 43,67.8,50.2,63.1,85.9,67.9,84.6,large
62,Humboldt University of BerlinGermany,32172,56.5,17%,,67.4,61.9,67.1,76.1,38.6,65.6,large
