
1,University of OxfordUnited Kingdom,"19,718",10.9,35%,46 : 54
2,California Institute of TechnologyUnited States,"2,181",6.7,27%,31 : 69
3,Stanford UniversityUnited StatesExplore,"15,658",7.7,22%,42 : 58
4,University of CambridgeUnited Kingdom,"18,605",11.3,35%,45 : 55
5,Massachusetts Institute of TechnologyUnited States,"11,192",8.8,33%,37 : 63
6,Harvard UniversityUnited States,"19,890",8.8,25%,n/a
7,Princeton UniversityUnited States,"7,925",8.4,23%,45 : 55
8,Imperial College LondonUnited Kingdom,"15,236",11.3,52%,37 : 63
9,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,"18,616",14.9,37%,31 : 69
=10,"University of California, BerkeleyUnited States","34,834",12.0,16%,52 : 48
=10,University of ChicagoUnited StatesExplore,"13,486",6.2,24%,42 : 58
12,Yale UniversityUnited States,"11,946",4.4,21%,49 : 51
13,University of PennsylvaniaUnited States,"20,367",6.5,20%,51 : 49
14,"University of California, Los AngelesUnited States","38,392",9.9,16%,53 : 47
15,UCLUnited Kingdom,"28,602",10.6,47%,56 : 44
16,Columbia UniversityUnited States,"25,659",6.0,30%,n/a
17,Johns Hopkins UniversityUnited States,"15,303",3.5,24%,51 : 49
18,Duke UniversityUnited States,"15,204",4.8,17%,49 : 51
19,Cornell UniversityUnited States,"21,593",9.9,19%,49 : 51
20,Northwestern UniversityUnited StatesExplore,"18,570",14.0,16%,48 : 52
21,University of MichiganUnited States,"41,912",8.8,16%,48 : 52
22,University of TorontoCanada,"68,093",18.8,16%,n/a
23,Carnegie Mellon UniversityUnited States,"12,311",13.2,38%,38 : 62
24,National University of SingaporeSingaporeExplore,"31,111",16.7,32%,50 : 50
=25,London School of Economics and Political ScienceUnited Kingdom,"9,401",11.8,70%,53 : 47
=25,University of WashingtonUnited States,"45,162",11.9,15%,53 : 47
27,University of EdinburghUnited Kingdom,"25,279",12.6,37%,59 : 41
28,Karolinska InstituteSweden,"7,723",11.3,23%,69 : 31
29,Peking UniversityChina,"42,977",8.8,15%,48 : 52
=30,LMU MunichGermanyExplore,"36,180",15.7,14%,61 : 39
=30,École Polytechnique Fédérale de LausanneSwitzerland,"9,750",11.2,54%,27 : 73
32,New York UniversityUnited States,"43,021",6.6,25%,55 : 45
=33,Georgia Institute of TechnologyUnited States,"19,847",19.8,26%,31 : 69
=33,University of MelbourneAustraliaExplore,"42,273",24.8,37%,55 : 45
35,Tsinghua UniversityChinaExplore,"41,537",14.1,10%,32 : 68
=36,University of British ColumbiaCanada,"51,889",18.2,29%,54 : 46
=36,University of Illinois at Urbana-ChampaignUnited States,"43,202",18.3,22%,46 : 54
=36,King’s College LondonUnited KingdomExplore,"21,986",11.3,38%,61 : 39
39,The University of TokyoJapan,"26,080",7.0,10%,n/a
40,KU LeuvenBelgiumExplore,"46,381",41.9,16%,49 : 51
41,"University of California, San DiegoUnited States","28,416",6.6,14%,47 : 53
42,McGill UniversityCanada,"30,911",13.5,24%,57 : 43
=43,Heidelberg UniversityGermany,"29,527",24.9,17%,55 : 45
=43,University of Hong KongHong KongExplore,"20,095",17.8,39%,51 : 49
45,University of Wisconsin-MadisonUnited States,"40,048",11.0,12%,51 : 49
46,Technical University of MunichGermany,"36,929",51.9,22%,33 : 67
47,Australian National UniversityAustraliaExplore,"15,402",19.9,35%,52 : 48
48,"University of California, Santa BarbaraUnited States","22,267",27.4,12%,51 : 49
