
1,University of OxfordUnited Kingdom,"20,409",11.2,38%,46 : 54
2,University of CambridgeUnited Kingdom,"18,389",10.9,35%,45 : 55
=3,California Institute of TechnologyUnited States,"2,209",6.5,27%,31 : 69
=3,Stanford UniversityUnited StatesExplore,"15,845",7.5,22%,42 : 58
5,Massachusetts Institute of TechnologyUnited States,"11,177",8.7,34%,37 : 63
6,Harvard UniversityUnited States,"20,326",8.9,26%,n/a
7,Princeton UniversityUnited States,"7,955",8.3,24%,45 : 55
8,Imperial College LondonUnited Kingdom,"15,857",11.4,55%,37 : 63
9,University of ChicagoUnited StatesExplore,"13,525",6.2,25%,44 : 56
=10,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerland,"19,233",14.6,38%,31 : 69
=10,University of PennsylvaniaUnited States,"20,361",6.5,20%,50 : 50
12,Yale UniversityUnited States,"12,155",4.3,21%,49 : 51
13,Johns Hopkins UniversityUnited States,"15,498",4.3,24%,52 : 48
14,Columbia UniversityUnited States,"26,587",6.1,32%,n/a
15,"University of California, Los AngelesUnited States","39,279",9.6,17%,53 : 47
16,UCLUnited Kingdom,"30,304",10.5,49%,56 : 44
17,Duke UniversityUnited States,"15,256",4.5,22%,49 : 51
18,"University of California, BerkeleyUnited States","36,182",13.1,17%,52 : 48
19,Cornell UniversityUnited States,"21,850",9.8,24%,49 : 51
20,Northwestern UniversityUnited StatesExplore,"17,466",12.8,18%,48 : 52
21,University of MichiganUnited States,"41,818",8.6,16%,48 : 52
=22,National University of SingaporeSingaporeExplore,"30,602",17.0,30%,51 : 49
=22,University of TorontoCanada,"69,427",18.7,17%,n/a
24,Carnegie Mellon UniversityUnited States,"12,676",13.5,45%,39 : 61
=25,London School of Economics and Political ScienceUnited Kingdom,"10,065",12.2,71%,52 : 48
=25,University of WashingtonUnited States,"44,945",11.4,16%,52 : 48
=27,University of EdinburghUnited Kingdom,"26,759",12.5,40%,59 : 41
=27,New York UniversityUnited States,"43,860",9.6,26%,56 : 44
=27,Peking UniversityChina,"42,136",8.9,16%,47 : 53
30,Tsinghua UniversityChinaExplore,"42,089",13.7,9%,32 : 68
31,"University of California, San DiegoUnited States","29,633",12.8,17%,46 : 54
32,University of MelbourneAustraliaExplore,"42,116",26.6,40%,55 : 45
33,Georgia Institute of TechnologyUnited States,"20,773",20.7,27%,31 : 69
=34,University of British ColumbiaCanada,"51,889",18.1,29%,54 : 46
=34,LMU MunichGermanyExplore,"36,091",15.6,15%,61 : 39
36,King’s College LondonUnited KingdomExplore,"23,207",12.0,41%,62 : 38
37,University of Illinois at Urbana-ChampaignUnited States,"43,402",22.8,23%,46 : 54
=38,École Polytechnique Fédérale de LausanneSwitzerland,"9,928",11.2,55%,28 : 72
=38,Karolinska InstituteSweden,"7,424",10.9,19%,68 : 32
40,University of Hong KongHong KongExplore,"18,364",18.0,42%,54 : 46
41,Technical University of MunichGermany,"38,689",54.4,23%,34 : 66
42,McGill UniversityCanada,"30,940",13.3,26%,57 : 43
43,University of Wisconsin-MadisonUnited States,"38,960",10.7,12%,51 : 49
44,Hong Kong University of Science and TechnologyHong KongExplore,"10,214",23.1,31%,n/a
45,Heidelberg UniversityGermany,"28,876",23.2,17%,55 : 45
46,The University of TokyoJapan,"26,000",6.7,10%,n/a
47,KU LeuvenBelgiumExplore,"44,412",37.1,15%,50 : 50
48,Australian National UniversityAustraliaExplore,"15,986",19.3,35%,52 : 48
49,University of Texas at AustinUnited States,"48,561",17.1,10%,51 : 49
=50,Brown UniversityUnited StatesExplore,"8,898",10.7,20%,n/a
=50,Washington University in St LouisUnited StatesExplore,"12,600",7.5,17%,n/a
52,"Nanyang Technological University, SingaporeSingaporeExplore","25,499",16.3,31%,48 : 52
53,"University of California, Santa BarbaraUnited States","23,054",28.1,14%,52 : 48
=54,"University of California, DavisUnited States","37,365",13.8,10%,56 : 44
=54,University of ManchesterUnited Kingdom,"35,318",14.6,38%,52 : 48
=56,University of MinnesotaUnited States,"60,949",17.4,11%,51 : 49
=56,University of North Carolina at Chapel HillUnited States,"34,684",9.7,8%,56 : 44
58,Chinese University of Hong KongHong KongExplore,"18,072",17.3,31%,n/a
59,University of AmsterdamNetherlandsExplore,"23,495",12.3,12%,57 : 43
60,Purdue UniversityUnited States,"38,770",17.4,23%,42 : 58
61,University of SydneyAustraliaExplore,"44,553",21.6,32%,57 : 43
62,Humboldt University of BerlinGermany,"32,172",56.5,17%,n/a
63,Delft University of TechnologyNetherlands,"17,057",19.6,27%,28 : 72
64,Wageningen University & ResearchNetherlands,"12,326",19.7,29%,55 : 45
65,University of QueenslandAustralia,"38,968",35.7,26%,55 : 45
66,University of Southern CaliforniaUnited States,"38,380",12.8,23%,53 : 47
67,Leiden UniversityNetherlandsExplore,"24,825",18.2,12%,57 : 43
68,Utrecht UniversityNetherlands,"31,522",15.2,7%,59 : 41
69,"University of Maryland, College ParkUnited States","31,772",16.5,10%,48 : 52
=70,Boston UniversityUnited States,"24,833",8.6,25%,60 : 40
=70,Ohio State UniversityUnited States,"53,190",12.7,13%,49 : 51
=72,Erasmus University RotterdamNetherlandsExplore,"22,047",20.1,20%,49 : 51
=72,Paris Sciences & Lettres – PSL UniversityFrance,"19,978",10.1,25%,n/a
=74,Kyoto UniversityJapan,"22,481",8.7,8%,24 : 76
=74,Seoul National UniversitySouth Korea,"26,470",12.6,11%,n/a
76,University of BristolUnited Kingdom,"19,995",13.7,27%,53 : 47
77,Pennsylvania State UniversityUnited States,"45,411",15.2,14%,46 : 54
78,McMaster UniversityCanadaExplore,"23,693",24.7,15%,52 : 48
79,RWTH Aachen UniversityGermany,"43,721",57.7,18%,32 : 68
=80,University of GlasgowUnited KingdomExplore,"23,389",15.4,36%,58 : 42
=80,Monash UniversityAustraliaExplore,"46,846",33.7,28%,57 : 43
82,University of FreiburgGermany,"20,871",40.3,19%,57 : 43
=83,University of GroningenNetherlandsExplore,"26,197",24.1,17%,52 : 48
=83,Michigan State UniversityUnited States,"44,556",17.0,17%,51 : 49
85,University of New South WalesAustraliaExplore,"40,133",26.7,34%,46 : 54
=86,Rice UniversityUnited States,"6,441",9.0,28%,43 : 57
=86,Uppsala UniversitySweden,"25,174",17.3,11%,57 : 43
88,Free University of BerlinGermany,"34,114",57.0,21%,59 : 41
89,Dartmouth CollegeUnited States,"6,100",6.6,15%,47 : 53
90,University of HelsinkiFinlandExplore,"22,532",16.2,6%,65 : 35
91,University of WarwickUnited Kingdom,"18,424",13.0,39%,48 : 52
92,Technical University of BerlinGermany,"22,390",64.3,20%,34 : 66
93,Lund UniversitySweden,"28,663",12.1,16%,55 : 45
94,University of TübingenGermany,"27,844",38.5,13%,59 : 41
=95,University of BaselSwitzerland,"12,729",17.7,27%,55 : 45
=95,Korea Advanced Institute of Science and Technology (KAIST)South KoreaExplore,"9,464",10.6,9%,20 : 80
97,Durham UniversityUnited Kingdom,"16,310",14.9,29%,54 : 46
98,Emory UniversityUnited States,"12,649",4.4,19%,57 : 43
99,"University of California, IrvineUnited States","30,419",17.0,21%,52 : 48
=100,University of BonnGermany,"35,619",77.9,13%,55 : 45
=100,University of Colorado BoulderUnited States,"30,780",16.3,10%,44 : 56
=100,University of PittsburghUnited States,"26,367",5.9,10%,52 : 48
103,Maastricht UniversityNetherlandsExplore,"16,727",18.0,50%,58 : 42
104,University of SheffieldUnited Kingdom,"24,581",14.9,36%,50 : 50
=105,University of BernSwitzerland,"10,449",16.5,15%,56 : 44
=105,Vanderbilt UniversityUnited States,"12,011",3.3,13%,53 : 47
107,Ghent UniversityBelgium,"35,909",35.9,10%,53 : 47
108,University of MontrealCanada,"41,017",21.9,22%,55 : 45
=109,Aarhus UniversityDenmark,"25,167",14.3,12%,54 : 46
=109,University of CopenhagenDenmark,"30,395",4.1,14%,58 : 42
=111,Sungkyunkwan University (SKKU)South KoreaExplore,"24,055",19.6,12%,42 : 58
=111,University of Western AustraliaAustraliaExplore,"18,787",21.8,25%,49 : 51
=113,University of GöttingenGermany,"28,554",27.9,12%,50 : 50
=113,University of VirginiaUnited States,"24,055",9.7,12%,52 : 48
115,École PolytechniqueFranceExplore,"2,799",5.1,36%,21 : 79
116,Fudan UniversityChina,"32,859",12.1,10%,51 : 49
=117,Indiana UniversityUnited States,"66,835",14.1,15%,52 : 48
=117,Trinity College DublinIreland,"16,157",22.8,27%,58 : 42
=119,University of AlbertaCanada,"32,435",21.6,26%,55 : 45
=119,City University of Hong KongHong KongExplore,"9,240",11.2,35%,54 : 46
121,Queen Mary University of LondonUnited Kingdom,"15,405",13.3,45%,54 : 46
122,Radboud University NijmegenNetherlands,"19,358",19.1,12%,56 : 44
=123,Georgetown UniversityUnited States,"15,956",8.6,17%,54 : 46
=123,Pierre and Marie Curie UniversityFrance,"25,117",12.3,20%,49 : 51
125,University of MannheimGermany,"10,995",74.5,16%,54 : 46
=126,Arizona State UniversityUnited States,"44,475",20.1,19%,43 : 57
=126,Charité - Universitätsmedizin BerlinGermany,"6,792",16.2,18%,63 : 37
=126,University of SouthamptonUnited Kingdom,"21,670",12.5,33%,53 : 47
